review,sentiment
"I love this product! It's amazing!",positive
"This is terrible, worst purchase ever.",negative
"Not bad, works as expected.",positive
"Absolutely fantastic! Would recommend.",positive
"Waste of money, very disappointed.",negative
"Good quality, satisfied with purchase.",positive
"Horrible experience, never again.",negative
"Pretty good, does what it says.",positive
"Disappointing, expected more.",negative
"Excellent service and fast delivery!",positive
"The customer support was very helpful",positive
"The app keeps crashing, very frustrating",negative
"Great value for the price",positive
"Shipping was extremely slow",negative
"Love the new features",positive
"Not worth the money at all",negative
"Highly recommend to everyone",positive
"Poor quality, broke after one use",negative
"Best purchase I've made all year",positive
"Would not buy again",negative
